x_values,y_values
0,83.0
1,61.0
2,54.0
3,49.4
4,46.0
5,43.4
6,41.8
7,39.4
8,38.0
9,37.2
10,36.0
11,34.8
12,33.8
13,32.4
14,31.4
15,31.4
16,30.4
17,29.8
18,29.2
19,28.2
20,26.4
21,25.2
22,24.6
23,23.0
24,22.0
25,21.4
26,21.0
27,20.0
28,19.8
29,19.6
30,19.2
31,18.4
32,17.6
33,17.6
34,16.8
35,15.8
36,15.6
37,15.4
38,15.4
39,15.4
40,15.2
41,14.6
42,13.8
43,13.0
44,13.0
45,13.0
46,13.0
47,12.8
48,12.4
49,11.6
50,11.4
51,10.8
52,10.4
53,10.0
54,9.6
55,9.0
56,9.0
57,8.4
58,8.2
59,7.8
60,7.8
61,7.6
62,7.4
63,7.2
64,7.2
65,7.0
66,7.0
67,6.8
68,6.8
69,6.8
70,6.8
71,6.8
72,6.6
73,6.6
74,6.6
75,6.4
76,6.0
77,5.4
78,5.0
79,4.8
80,4.6
81,4.0
82,3.0
83,2.8
84,2.6
85,2.6
86,2.4
87,2.2
88,1.8
89,1.8
90,1.6
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,0.8
97,0.2
98,0.0
99,0.0
100,0.0
